95774.09,92185.81,486511.28
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
84399.06,67068.0,299885.44
68222.82,55658.688,281586.7
64876.227,45036.234,212899.8
51011.62,37031.395,186926.12
40242.453,32099.28,171930.12
33582.81,27877.717,147753.62
27639.69,20821.512,123085.74
285744.72,169079.89,1033758.44
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
285442.12,169742.36,1033214.2
163373.11,130315.625,785468.44
135263.28,106597.69,517191.62
131316.08,104978.14,503044.47
131316.08,104978.14,503044.47
112920.57,83947.1,438964.75
92141.555,68092.9,352003.44
92141.555,68092.9,352003.44
84715.734,66965.27,302158.22
84399.06,67068.0,299885.44
84399.06,67068.0,299885.44
82678.984,63655.125,302242.8
82678.984,63655.125,302242.8
82678.984,63655.125,302242.8
82678.984,63655.125,302242.8
82678.984,63655.125,302242.8
82678.984,63655.125,302242.8
82678.984,63655.125,302242.8
77224.22,60346.773,290412.22
68222.82,55658.688,281586.7
68222.82,55658.688,281586.7
75365.195,52390.773,269110.72
72398.89,47349.953,245121.84
72398.89,47349.953,245121.84
72398.89,47349.953,245121.84
72398.89,47349.953,245121.84
72398.89,47349.953,245121.84
72398.89,47349.953,245121.84
72398.89,47349.953,245121.84
64876.227,45036.234,212899.8
64876.227,45036.234,212899.8
55979.69,41135.086,215946.8
55979.69,41135.086,215946.8
54338.254,45301.008,231842.77
54338.254,45301.008,231842.77
54338.254,45301.008,231842.77
54338.254,45301.008,231842.77
54338.254,45301.008,231842.77
54338.254,45301.008,231842.77
54338.254,45301.008,231842.77
51011.62,37031.395,186926.12
45441.438,33748.016,167791.53
45441.438,33748.016,167791.53
45441.438,33748.016,167791.53
45115.777,33632.13,170671.33
45115.777,33632.13,170671.33
45115.777,33632.13,170671.33
45054.332,34176.656,175580.88
41255.54,32264.885,160679.66
41255.54,32264.885,160679.66
40242.453,32099.28,171930.12
40951.965,32374.2,174852.3
40723.344,29311.174,154165.3
35948.402,28311.922,144205.16
35948.402,28311.922,144205.16
35948.402,28311.922,144205.16
33582.81,27877.717,147753.62
33582.81,27877.717,147753.62
33582.81,27877.717,147753.62
33582.81,27877.717,147753.62
33582.81,27877.717,147753.62
37230.332,27527.658,148614.58
37230.332,27527.658,148614.58
31647.582,26011.707,146181.44
29333.717,20741.188,121532.7
27639.69,20821.512,123085.74
27639.69,20821.512,123085.74
27639.69,20821.512,123085.74
27639.69,20821.512,123085.74
27639.69,20821.512,123085.74
27639.69,20821.512,123085.74
